timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1509560921.5849364,,jumping,16.306845903396606,False,0,1,2,3
1509560923.5857553,,jumping,18.30766487121582,False,0,1,2,3
1509560925.5860727,,jumping,20.307982206344604,False,0,1,2,3
1509560927.590399,,jumping,22.31230854988098,False,0,1,2,3
1509560929.5932229,,jumping,24.31513237953186,False,0,1,2,3
1509560931.5955453,,jumping,26.31745481491089,False,0,1,2,3
1509560933.5983691,,jumping,28.320278644561768,False,0,1,2,3
1509560935.6021957,,jumping,30.324105262756348,False,0,1,2,3
1509560937.606022,,jumping,32.32793140411377,False,0,1,2,3
1509560939.6058376,,jumping,34.327747106552124,False,0,1,2,3
1509560941.6121705,,jumping,36.33407998085022,False,0,1,2,3
1509560943.6154957,,jumping,38.33740520477295,False,0,1,2,3
1509560945.6213276,,jumping,40.34323716163635,False,0,1,2,3
1509560947.6206417,,jumping,42.34255123138428,False,0,1,2,3
1509560949.626474,,jumping,44.34838342666626,False,0,1,2,3
1509560951.628295,,jumping,46.35020446777344,False,0,1,2,3
1509560953.6311183,,jumping,48.35302782058716,False,0,1,2,3
1509560955.632439,,jumping,50.3543484210968,False,0,1,2,3
1509560957.6347606,,jumping,52.35667014122009,False,0,1,2,3
1509560959.6466084,,jumping,54.36851787567139,False,0,1,2,3
1509561009.9102156,,windowcleaner360,44.63013291358948,False,0,1,2,3
1509561011.9135408,,windowcleaner360,46.63345813751221,False,0,1,2,3
1509561013.9183693,,windowcleaner360,48.63828659057617,False,0,1,2,3
1509561015.9221952,,windowcleaner360,50.642112493515015,False,0,1,2,3
1509561017.926022,,windowcleaner360,52.645939350128174,False,0,1,2,3
1509561019.9313524,,windowcleaner360,54.65126967430115,False,0,1,2,3
1509561021.9381864,,windowcleaner360,56.658103704452515,False,0,1,2,3
1509561023.9390051,,windowcleaner360,58.65892243385315,False,0,1,2,3
1509561025.9448378,,squatturnclap,0.6607575416564941,False,0,1,2,3
1509561027.945154,,squatturnclap,2.661073684692383,False,0,1,2,3
1509561029.948479,,squatturnclap,4.664398670196533,False,0,1,2,3
1509561031.9768705,,squatturnclap,6.692790269851685,False,0,1,2,3
1509561033.959641,,squatturnclap,8.675560712814331,False,0,1,2,3
1509561035.9624655,,squatturnclap,10.678385257720947,False,0,1,2,3
1509561037.9637847,,squatturnclap,12.679704427719116,False,0,1,2,3
1509561039.9721234,,squatturnclap,14.688043117523193,False,0,1,2,3
1509561041.9709365,,squatturnclap,16.686856269836426,False,0,1,2,3
1509561043.9787734,,squatturnclap,18.694693088531494,False,0,1,2,3
1509561045.9861088,,squatturnclap,20.702028512954712,False,0,1,2,3
1509561047.9884315,,squatturnclap,22.70435118675232,False,0,1,2,3
1509561120.8942246,,jumpingjack,35.606146574020386,False,0,1,2,3
1509561122.4458477,,jumpingjack,37.15776968002319,False,0,1,2,3
1509561124.4476717,,jumpingjack,39.15959358215332,False,0,1,2,3
1509561126.466034,,jumpingjack,41.177955865859985,False,0,1,2,3
1509561128.4553216,,jumpingjack,43.16724348068237,False,0,1,2,3
1509561173.3466482,,jumpingjack,28.055073976516724,False,0,1,2,3
1509561175.3499732,,jumpingjack,30.058398962020874,False,0,1,2,3
1509561177.3512926,,jumpingjack,32.05971837043762,False,0,1,2,3
1509561179.581221,,jumpingjack,34.28964686393738,False,0,1,2,3
1509561181.3920333,,jumpingjack,36.10045909881592,False,0,1,2,3
1509561183.3652787,,jumpingjack,38.07370448112488,False,0,1,2,3
1509561185.3726146,,jumpingjack,40.081040382385254,False,0,1,2,3
1509561187.3669157,,jumpingjack,42.07534146308899,False,0,1,2,3
1509561189.3742516,,jumpingjack,44.082677364349365,False,0,1,2,3
1509561191.3800843,,jumpingjack,46.088510036468506,False,0,1,2,3
1509561193.3814027,,jumpingjack,48.08982849121094,False,0,1,2,3
1509561195.3847277,,jumpingjack,50.09315347671509,False,0,1,2,3
1509561197.388053,,jumpingjack,52.09647870063782,False,0,1,2,3
1509561199.3913784,,jumpingjack,54.099804162979126,False,0,1,2,3
1509561201.397711,,jumpingjack,56.10613679885864,False,0,1,2,3
1509561203.4055486,,jumpingjack,58.11397433280945,False,0,1,2,3
1509561205.4023557,,squatturnclap,0.10678339004516602,False,0,1,2,3
1509561207.4006677,,squatturnclap,2.105095386505127,False,0,1,2,3
1509561209.4064999,,squatturnclap,4.110927581787109,False,0,1,2,3
1509561211.4263685,,squatturnclap,6.130796194076538,False,0,1,2,3
1509561235.975122,b'No Action',squatturnclap,30.67954969406128,False,0,1,2,3
1509561237.9894762,b'No Action',squatturnclap,32.69390392303467,False,0,1,2,3
1509561239.9722474,b'No Action',squatturnclap,34.67667508125305,False,0,1,2,3
1509561241.9901102,b'No Action',squatturnclap,36.6945378780365,False,0,1,2,3
1509561243.978897,b'No Action',squatturnclap,38.68332481384277,False,0,1,2,3
1509561245.9837267,b'No Action',squatturnclap,40.688154458999634,False,0,1,2,3
1509561248.0040972,b'No Action',squatturnclap,42.70852494239807,False,0,1,2,3
1509561249.9898746,b'No Action',squatturnclap,44.69430232048035,False,0,1,2,3
1509561251.9947038,b'No Action',squatturnclap,46.69913148880005,False,0,1,2,3
1509561253.9970262,b'No Action',squatturnclap,48.70145392417908,False,0,1,2,3
1509561256.0013537,b'No Action',squatturnclap,50.70578145980835,False,0,1,2,3
1509561258.0071857,b'No Action',squatturnclap,52.71161341667175,False,0,1,2,3
1509561260.0095088,b'No Action',squatturnclap,54.71393656730652,False,0,1,2,3
1509561262.012833,b'No Action',squatturnclap,56.71726083755493,False,0,1,2,3
1509561264.0171611,b'No Action',squatturnclap,58.72158885002136,False,0,1,2,3
1509561266.0295103,b'No Action',jumping,0.72994065284729,False,0,1,2,3
1509561268.0253148,b'No Action',jumping,2.72574520111084,False,0,1,2,3
1509561270.0251307,b'No Action',jumping,4.725561141967773,False,0,1,2,3
1509561272.0404882,b'No Action',jumping,6.7409186363220215,False,0,1,2,3
1509561274.0428107,b'No Action',jumping,8.74324107170105,False,0,1,2,3
1509561587.7045598,Neutral,windowcleaner360,22.386004209518433,False,0,1,2,3
1509561589.7118957,Neutral,windowcleaner360,24.39334011077881,False,0,1,2,3
1509561591.7127142,Neutral,windowcleaner360,26.394158601760864,False,0,1,2,3
1509561593.7150366,Neutral,windowcleaner360,28.396481037139893,False,0,1,2,3
1509561595.7193644,Neutral,windowcleaner360,30.400808811187744,False,0,1,2,3
1509561597.7261984,Neutral,windowcleaner360,32.40764284133911,False,0,1,2,3
1509561599.7270174,Neutral,windowcleaner360,34.408461809158325,False,0,1,2,3
1509561601.7318463,Neutral,windowcleaner360,36.41329073905945,False,0,1,2,3
1509561603.747705,Neutral,windowcleaner360,38.42914938926697,False,0,1,2,3
1509561605.7405028,Neutral,windowcleaner360,40.42194724082947,False,0,1,2,3
